V1 magfail.asia sftgcode sftgmusl sftgreg1 sftgreg2 sftgsts sftpcons sftmoecd sftsdemo sftpmag sftprev sftpeth sftpreg sftpgen sftpnum poldemoc polautoc poldurab polxrreg polxrcmp polxropn polxcons polpareg polpacmp dispop1 dispd1 dised1 dispop2 dispd2 dised2 dispop3 dispd3 dised3 dispop4 dispd4 dised4 dispop5 dispd5 dised5 dispop6 dispd6 dised6 dispop7 dispd7 dised7 dised8 dispd8 dispd9 dis1 dis2 dis3 dis4 dis5 dis6 dis7 dis8 dis9 disced1 disced4 discpd2 discpd3 discpd4 dispop8 dispop9 sftsdist sftsdisp dispota2 sftsdisa sftsdisi sftpem1 sftpem2 sftpem3 sftprm1 sftprm2 sftprm3 sftpvm1 sftpvm2 sftpvm3 bnnyroff unuurbpo unuurbpc unuurbch unuurbcp unutpop unucpop unucgr unucurb unuctot sfxinfm elceleth elceliti maccviol maccwar maceviol macewar macctot macactot macbord mactciv mactotac macnciv macnac macregn macnreg macrgciv macregac macnrciv macnrac dmimintv sftpmreg sftpmrev sftpmeth sftpmmax itu132mi itu132m itu91 itu112 itu422 macctote macctotr macctott sftpeind sftprind sftpvind sftgybeg sftgyend sftgsngr sftgunc sftgtrop
5016 1 0 12 2 2 3 12 0 1 4 0 0 0 0 0 0 9 0 5 3 3 4 7 2 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 1 1498 60.8 2.97 0.87 2463 NA NA NA NA 50.6 0 0 0 0 0 0 0 0 2 2 2 1 1 7 15 17 17 5 5 0 1 4 0 0 NA NA NA NA NA 0 0 0 0 0 0 1921 9999 712 496 NA
5104 1 14.5 13 2 2 2 13 1 1 1 2.5 1 1 1 1 1 0 9 36 2 1 4 1 4 1 0.16 2 2 0.09 2 2 0.07 2 2 0.023 9 9 0.02 1 1 0.011 1 1 0 0 0 0 0 0 2 2 2 0 1 1 0 0 0 0 9 0 0 9 0 0 0.374 0.431526 0.343 0.360727272727273 0.366060606060606 2 1 1 0 0 0 0 0 0 6 11660 25.85 3.17 1.37 45106 3873 2.81 33.22 8.59 75.4 1 1 0 0 0 5 5 5 5 10 10 3 3 67 15 23.5 23.5 6 6 0 1 4 1 1 NA NA NA NA NA 5 0 5 1 0 0 1948 9999 775 104 65
5236 1 0 14 2 1 1 14 0 1 2 0 0 0 0 0 0 8 0 7 2 2 4 7 2 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 1 2212 10.31 5.37 2.85 21456 NA NA NA NA 79.8 0 0 0 0 0 0 0 0 2 9 9 2 2 6 15 30 30 7 7 0 1 4 0 0 NA 183864 1 193998 NA 0 0 0 0 0 0 1919 9999 790 524 NA
5588 1 24.46875 15 1 1 1 15 1 1 2 2.46875 0 1 0 0 2 7 0 10 3 3 4 6 2 3 0.13 1 1 0.102 1 1 0.08 2 0 0.041 1 1 0.035 2 1 0.016 2 1 0 0 0 0 0 0 1 1 2 1 2 2 0 0 0 0 0 -1 1 0 0 0 0.404 0.392082 0.131 0.409 0.409244444444444 9 9 9 0 0 0 0 0 0 0 46732 34.3 4.25 1.54 136257 9733 3.81 20.83 7.14 72.5 1 1 0 0 1 0 1 1 4 16 16 3 3 6 15 30 30 7 7 1 1 4 -9 0 NA NA NA NA NA 1 0 1 1 0 0 1971 9999 769 586 NA
5808 1 19.44444 16 2 2 2 16 1 1 4 2.44444 1 1 1 1 1 9 0 11 3 3 4 7 2 4 0.069 0 1 0.014 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 NA 0 NA NA 0 0 0.083 0.845846 NA 0.0813636363636363 0.0813636363636363 1 1 1 0 0 0 3 0 1 6 36662 54.04 3.64 1.63 67839 9286 3.05 25.33 13.69 34.1 0 0 0 3 0 3 6 6 0 0 0 0 0 7 15 17 17 5 5 0 1 5 1 1 681170 286444 NA NA 110000 3 3 6 1 0 1 1946 9999 840 608 100
5896 1 6 18 2 2 4 17 0 1 4 0 0 0 0 0 0 10 0 22 3 3 4 7 5 5 0.033 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -1 NA NA NA NA 0 0 0.033 0.936178 NA 0.0347 0.033 2 0 1 0 0 0 0 0 0 1 690 16.05 3.87 1.63 4301 NA NA NA NA 60.2 0 0 0 0 0 0 0 0 1 3 3 1 1 7 15 17 17 5 5 0 1 4 1 1 NA NA NA NA NA 0 0 0 1 0 0 1975 9999 910 598 100
6028 1 0 19 2 2 3 18 0 1 1 0 0 0 0 0 0 0 9 50 2 1 4 1 4 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 4 13526 61.21 2.1 0.52 22097 2484 1.86 18.36 11.24 21.1 0 1 0 0 0 0 0 0 3 2 2 1 1 7 15 17 17 5 5 0 1 4 0 0 NA NA NA NA NA 0 0 0 0 0 0 1948 9999 731 408 NA
6116 1 0 20 2 2 3 19 0 1 4 0 0 0 0 0 0 10 0 10 3 3 4 7 5 5 0.131 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0.131 0.772322 NA 0.107181818181818 0.131 0 0 0 0 0 0 0 0 0 0 36501 81.28 2.03 1.17 44909 11609 1.02 31.81 25.85 9.2 0 0 0 0 0 0 0 0 1 0 0 0 0 7 15 17 17 5 5 0 1 4 0 0 NA NA NA NA NA 0 0 0 0 0 0 1948 9999 732 410 NA
6600 1 0 22 2 2 2 20 0 1 2 0 0 0 0 0 0 2 4 33 2 2 4 3 4 2 0.149 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0.149 0.746402 NA 0.1487 0.1487 0 0 0 0 0 0 0 0 0 8 3327 100 1.5 0 3327 3327 1.5 100 100 4.9 0 0 0 0 0 0 0 0 1 0 0 0 0 7 15 17 17 5 5 0 1 4 0 0 NA NA NA NA 145000 0 0 0 0 0 0 1965 9999 830 702 NA
6996 1 22.3125 23 2 1 1 21 1 1 2 2.3125 1 1 0 1 2 6 1 50 3 3 4 5 3 3 0.122 1 2 0.053 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 NA 0 NA NA 0 0 0.175 0.698318 0.122 0.179363636363636 0.179363636363636 3 2 3 0 0 0 0 0 0 4 3957 22.07 2.28 1.3 17928 NA NA NA NA 14.4 1 0 0 0 0 5 5 5 0 0 0 0 0 6 15 30 30 7 7 0 1 4 3 3 NA 400400 3 523529 NA 5 0 5 1 0 0 1948 9999 780 144 100
7436 1 0 24 2 2 3 6 0 1 4 0 0 0 0 0 0 9 0 6 3 3 4 6 5 5 0.83 0 0 0.15 0 0 0.017 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 NA 0 0 NA 0 0 0.997 0.711698 NA 0.972781818181818 0.8638 0 0 0 0 0 0 0 0 0 10 NA NA NA NA NA NA NA NA NA NA 2 0 0 0 0 0 0 0 0 0 0 0 0 7 15 17 17 5 5 0 1 4 0 0 NA NA NA NA 310000 0 0 0 0 0 0 1949 9999 713 -6 NA
7524 1 15.75 25 2 2 2 22 1 1 4 1.75 0 1 1 0 3 9 0 6 3 3 4 7 2 4 0.08 1 0 0.03 1 1 0.01 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 NA 0 0 NA 0 0 0.12 0.7818 NA 0.123636363636364 0.123636363636364 1 1 2 0 0 0 0 0 0 1 11620 19.95 2.33 1.57 58242 6547 1.96 56.34 11.24 28.7 0 0 0 0 1 0 1 1 4 5 5 1 1 7 15 17 17 5 5 0 1 4 2 2 NA NA NA NA 130000 1 0 1 1 0 0 1815 9999 800 764 95
8184 1 0 26 2 2 2 23 0 1 1 0 0 0 0 0 0 0 7 44 2 1 4 3 4 1 0.017 1 0 0.017 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 NA 0 NA NA 0 0 0.034 0.933734 NA 0.034 0.034 0 0 0 0 0 0 0 0 0 1 14348 19.44 2.04 0.29 73793 3521 0.87 24.54 4.77 36 0 1 0 0 0 0 0 0 3 2 2 1 1 7 15 17 17 5 5 0 1 4 0 0 NA NA NA NA NA 0 0 0 0 0 0 1976 9999 818 704 100
